date,ticker,close,is_spike
2024-01-01,T0000,130.17537872419976,0
2024-01-02,T0000,133.1625984971506,0
2024-01-03,T0000,134.29781684127676,0
2024-01-04,T0000,134.2130179986223,0
2024-01-05,T0000,133.09463061899055,0
2024-01-08,T0000,131.87661452527942,0
2024-01-09,T0000,135.08505706713126,0
2024-01-10,T0000,136.13756187108723,0
2024-01-11,T0000,136.3064399286281,0
2024-01-12,T0000,135.63956172288448,0
2024-01-15,T0000,133.45540666237332,0
2024-01-16,T0000,133.35450041033135,0
2024-01-17,T0000,135.12793647279028,0
2024-01-18,T0000,134.37428744358638,0
2024-01-19,T0000,133.9532596862296,0
2024-01-22,T0000,133.54586303920334,0
2024-01-23,T0000,133.79503912547568,0
2024-01-24,T0000,130.69786087876483,0
2024-01-25,T0000,130.27257282053287,0
2024-01-26,T0000,128.6604968306474,0
2024-01-29,T0000,130.39266654313457,0
2024-01-30,T0000,128.9394625722408,0
2024-01-31,T0000,130.0799325332258,0
2024-02-01,T0000,133.08987906773342,0
2024-02-02,T0000,132.50284306394988,0
2024-02-05,T0000,131.35542407690218,0
2024-02-06,T0000,131.7605513339518,0
2024-02-07,T0000,131.78775209114357,0
2024-02-08,T0000,129.88810089940176,0
2024-02-09,T0000,130.811173224631,0
2024-02-12,T0000,134.81767185569083,1
2024-02-13,T0000,134.3336577404417,0
2024-02-14,T0000,133.96122352941086,0
2024-02-15,T0000,131.9296642630778,0
2024-02-16,T0000,132.58768251216776,0
2024-02-19,T0000,130.18574402845408,0
2024-02-20,T0000,128.09344714493656,0
2024-02-21,T0000,130.58189707755918,0
2024-02-22,T0000,128.8682429989002,0
2024-02-23,T0000,130.98541846348652,0
2024-02-26,T0000,134.01615910236757,0
2024-02-27,T0000,134.56510329125499,0
2024-02-28,T0000,135.70764971997687,0
2024-02-29,T0000,139.73277293905645,1
2024-03-01,T0000,139.3580926188085,0
2024-03-04,T0000,138.16889471905094,0
2024-03-05,T0000,135.45194115826916,0
2024-03-06,T0000,135.5679285066218,0
