trader_id,trade_id,timestamp,side,ticker,qty,price,fee,date
9001,1,2024-02-01 00:03:00,B,T1844,80,69.856,14.9935,2024-02-01
9001,2,2024-02-01 00:08:00,S,T2766,111,234.0374,16.2383,2024-02-01
9001,3,2024-02-01 00:13:00,B,T2450,82,235.1816,5.4202,2024-02-01
9001,4,2024-02-01 00:18:00,B,T6299,63,261.4889,5.7105,2024-02-01
9001,5,2024-02-01 00:23:00,B,T5181,74,84.0467,4.6545,2024-02-01
9001,6,2024-02-01 00:28:00,B,T5827,42,72.0062,2.2383,2024-02-01
9001,7,2024-02-01 00:33:00,B,T7281,52,259.2431,12.0085,2024-02-01
9001,8,2024-02-01 00:38:00,S,T8646,138,80.6264,15.858,2024-02-01
9001,9,2024-02-01 00:43:00,B,T2779,124,228.2461,15.8435,2024-02-01
9001,10,2024-02-01 00:48:00,B,T5270,124,43.2291,11.3318,2024-02-01
9001,11,2024-02-01 00:53:00,B,T7649,143,69.2761,7.0039,2024-02-01
9001,12,2024-02-01 00:58:00,B,T0326,155,151.659,9.493,2024-02-01
9001,13,2024-02-01 01:03:00,B,T2576,81,25.8112,8.0971,2024-02-01
9001,14,2024-02-01 01:08:00,B,T4273,85,237.9511,11.8639,2024-02-01
9001,15,2024-02-01 01:13:00,B,T8109,111,152.3691,14.141,2024-02-01
9001,16,2024-02-01 01:18:00,B,T4374,174,126.0194,2.3558,2024-02-01
9001,17,2024-02-01 01:23:00,B,T6235,106,266.2589,8.9652,2024-02-01
9001,18,2024-02-01 01:28:00,B,T5191,80,129.1907,11.2607,2024-02-01
9001,19,2024-02-01 01:33:00,B,T4883,186,180.5869,13.9021,2024-02-01
9001,20,2024-02-01 01:38:00,B,T3028,72,26.502,14.1037,2024-02-01
9001,21,2024-02-01 01:43:00,B,T4899,68,102.6121,15.4532,2024-02-01
9001,22,2024-02-01 01:48:00,S,T3189,70,253.9309,7.4005,2024-02-01
9001,23,2024-02-01 01:53:00,B,T7987,85,192.0977,5.6593,2024-02-01
9001,24,2024-02-01 01:58:00,B,T4243,49,63.6424,15.9724,2024-02-01
9001,25,2024-02-01 02:03:00,B,T0303,178,167.6087,8.8609,2024-02-01
9001,26,2024-02-01 02:08:00,B,T1608,50,116.8902,12.2482,2024-02-01
9001,27,2024-02-01 02:13:00,S,T2618,190,200.4651,4.3848,2024-02-01
9001,28,2024-02-01 02:18:00,B,T2932,99,87.155,5.6771,2024-02-01
9001,29,2024-02-01 02:23:00,B,T3285,146,181.2236,10.7154,2024-02-01
9001,30,2024-02-01 02:28:00,B,T2949,155,269.9412,10.6957,2024-02-01
9001,31,2024-02-01 02:33:00,B,T6882,111,63.8359,4.3204,2024-02-01
9001,32,2024-02-01 02:38:00,B,T5219,152,94.3714,4.8819,2024-02-01
9001,33,2024-02-01 02:43:00,B,T6596,136,83.3324,5.4947,2024-02-01
9001,34,2024-02-01 02:48:00,S,T7248,93,33.7559,17.7059,2024-02-01
9001,35,2024-02-01 02:53:00,B,T2650,100,258.9177,3.2862,2024-02-01
9001,36,2024-02-01 02:58:00,B,T1447,68,70.7065,14.5548,2024-02-01
9001,37,2024-02-01 03:03:00,B,T4607,140,34.8133,7.0449,2024-02-01
9001,38,2024-02-01 03:08:00,B,T3492,81,193.1241,6.2435,2024-02-01
9001,39,2024-02-01 03:13:00,B,T9273,69,143.8654,5.3138,2024-02-01
9001,40,2024-02-01 03:18:00,S,T9457,152,59.4009,16.3942,2024-02-01
9001,41,2024-02-01 03:23:00,B,T1282,165,55.1096,14.1512,2024-02-01
9001,42,2024-02-01 03:28:00,B,T7630,147,86.1027,8.7005,2024-02-01
9001,43,2024-02-01 03:33:00,B,T6526,156,141.7354,8.3013,2024-02-01
9001,44,2024-02-02 00:03:00,B,T7819,191,181.7947,17.3823,2024-02-02
9001,45,2024-02-02 00:08:00,B,T2190,46,163.1794,5.9129,2024-02-02
9001,46,2024-02-02 00:13:00,B,T7563,195,92.4469,7.0182,2024-02-02
9001,47,2024-02-02 00:18:00,S,T4005,177,137.5346,16.7296,2024-02-02
9001,48,2024-02-02 00:23:00,B,T8594,197,144.431,5.4001,2024-02-02
9001,49,2024-02-02 00:28:00,B,T0798,151,59.9323,6.3096,2024-02-02
9001,50,2024-02-02 00:33:00,B,T2295,97,132.5574,9.3302,2024-02-02
9001,51,2024-02-02 00:38:00,B,T1770,42,93.3479,15.6377,2024-02-02
9001,52,2024-02-02 00:43:00,S,T3707,89,142.7465,7.3598,2024-02-02
9001,53,2024-02-02 00:48:00,B,T6871,111,212.5082,7.0726,2024-02-02
9001,54,2024-02-02 00:53:00,B,T7074,91,137.0447,16.6607,2024-02-02
9001,55,2024-02-02 00:58:00,B,T0278,138,210.1654,17.7725,2024-02-02
9001,56,2024-02-02 01:03:00,B,T9525,126,66.4604,5.4058,2024-02-02
9001,57,2024-02-02 01:08:00,B,T4059,160,254.3618,17.5602,2024-02-02
9001,58,2024-02-02 01:13:00,B,T6967,186,185.0428,15.7685,2024-02-02
9001,59,2024-02-02 01:18:00,B,T5616,153,231.124,14.3876,2024-02-02
9001,60,2024-02-02 01:23:00,B,T9811,73,32.2175,3.6976,2024-02-02
9001,61,2024-02-02 01:28:00,B,T5808,74,134.8635,3.0261,2024-02-02
9001,62,2024-02-02 01:33:00,B,T3907,198,153.9972,14.0918,2024-02-02
9001,63,2024-02-02 01:38:00,B,T8256,183,162.8194,7.7149,2024-02-02
9001,64,2024-02-02 01:43:00,B,T1864,148,251.7687,12.7746,2024-02-02
9001,65,2024-02-02 01:48:00,S,T2099,84,84.3502,9.3049,2024-02-02
9001,66,2024-02-02 01:53:00,B,T0398,114,114.7366,14.0172,2024-02-02
9001,67,2024-02-02 01:58:00,B,T2333,166,265.7974,3.2678,2024-02-02
9001,68,2024-02-02 02:03:00,B,T7053,93,42.2897,17.5304,2024-02-02
9001,69,2024-02-02 02:08:00,B,T1287,56,220.9559,8.7592,2024-02-02
9001,70,2024-02-02 02:13:00,S,T4924,123,27.0358,4.6135,2024-02-02
9001,71,2024-02-02 02:18:00,B,T1814,184,93.9949,3.2061,2024-02-02
9001,72,2024-02-02 02:23:00,B,T6732,156,138.2142,16.3794,2024-02-02
9001,73,2024-02-02 02:28:00,B,T6816,70,206.7246,9.0314,2024-02-02
9001,74,2024-02-02 02:33:00,B,T8866,160,119.117,8.9887,2024-02-02
9001,75,2024-02-02 02:38:00,B,T5536,119,162.2265,8.9077,2024-02-02
9001,76,2024-02-02 02:43:00,B,T5417,85,122.4248,14.4656,2024-02-02
9001,77,2024-02-02 02:48:00,B,T7204,84,78.2103,16.9124,2024-02-02
9001,78,2024-02-02 02:53:00,B,T3238,142,254.749,2.758,2024-02-02
9001,79,2024-02-02 02:58:00,S,T9286,170,194.4803,11.1136,2024-02-02
9001,80,2024-02-02 03:03:00,B,T0834,45,48.1494,13.0503,2024-02-02
9001,81,2024-02-02 03:08:00,S,T5102,106,25.2597,15.2615,2024-02-02
9001,82,2024-02-02 03:13:00,B,T3365,188,198.3538,4.2653,2024-02-02
9001,83,2024-02-02 03:18:00,B,T7113,136,155.0314,11.4228,2024-02-02
9001,84,2024-02-02 03:23:00,B,T9403,188,226.1165,16.386,2024-02-02
9001,85,2024-02-02 03:28:00,B,T9795,105,233.7883,3.5931,2024-02-02
9001,86,2024-02-02 03:33:00,B,T1915,195,110.7755,5.511,2024-02-02
9001,87,2024-02-02 03:38:00,B,T4450,134,91.9405,9.4027,2024-02-02
9001,88,2024-02-02 03:43:00,B,T3218,93,35.2773,15.3526,2024-02-02
9001,89,2024-02-02 03:48:00,B,T2442,119,261.7056,13.7631,2024-02-02
9001,90,2024-02-03 00:03:00,B,T2856,114,207.5365,3.2102,2024-02-03
9001,91,2024-02-03 00:08:00,B,T5915,100,213.6889,13.8852,2024-02-03
9001,92,2024-02-03 00:13:00,B,T3292,88,65.1238,13.6686,2024-02-03
9001,93,2024-02-03 00:18:00,B,T4804,144,254.4301,2.1029,2024-02-03
9001,94,2024-02-03 00:23:00,B,T7398,142,189.5139,8.5132,2024-02-03
9001,95,2024-02-03 00:28:00,B,T9485,136,49.2971,3.0844,2024-02-03
